	Time	RTT	Node
0	2758	1506	0
1	3134	1835	0
2	3510	2164	0
3	3886	2493	0
4	4262	2822	0
5	4638	3151	0
6	5014	3480	0
7	5390	3809	0
8	5766	4138	0
9	6142	4467	0
10	6518	4796	0
11	6894	5125	0
12	7270	5454	0
13	7646	5783	0
14	8022	6112	0
15	8398	6441	0
16	8774	6770	0
17	9150	7099	0
18	9526	7428	0
19	9902	7757	0
20	10278	8086	0
21	10654	8415	0
22	11030	8744	0
23	11406	8648	0
24	11782	8272	0
25	12158	7896	0
26	12628	7614	0
27	12675	6533	0
28	13286	5640	0
29	13662	4512	0
30	14038	2256	0
31	15168	1506	0
32	16674	1506	0
33	18180	1506	0
34	19686	1506	0
35	21192	1506	0
36	22698	1506	0
37	24204	1506	0
38	25710	1506	0
39	25804	1553	0
40	27216	1506	0
41	27357	1553	0
42	28722	1506	0
43	28863	1506	0
44	30228	1506	0
45	30369	1506	0
46	31734	1506	0
47	31875	1506	0
48	31969	1553	0
49	33240	1506	0
50	33381	1506	0
51	33522	1553	0
52	34746	1506	0
53	34887	1506	0
54	35028	1506	0
55	36252	1506	0
56	36393	1506	0
57	36487	1553	0
58	36581	1553	0
59	37758	1506	0
60	37899	1506	0
61	38040	1553	0
62	38134	1553	0
63	39309	1551	0
64	39450	1551	0
65	39591	1551	0
66	39685	1598	0
67	39732	1598	0
68	41142	1833	0
69	41283	1833	0
70	41424	1833	0
71	41565	1880	0
72	41612	1880	0
73	42928	1786	0
74	43069	1786	0
75	43163	1739	0
76	43304	1692	0
77	44434	1506	0
78	44669	1506	0
79	44810	1506	0
80	44904	1553	0
81	46126	1692	0
82	46267	1598	0
83	46408	1598	0
84	46502	1598	0
85	47677	1551	0
0	2946	1678	1
1	3322	2007	1
2	3698	2336	1
3	4074	2665	1
4	4450	2994	1
5	4826	3323	1
6	5202	3652	1
7	5578	3981	1
8	5954	4310	1
9	6330	4639	1
10	6706	4968	1
11	7082	5297	1
12	7458	5626	1
13	7834	5955	1
14	8210	6284	1
15	8586	6613	1
16	8962	6942	1
17	9338	7271	1
18	9714	7600	1
19	10090	7929	1
20	10466	8258	1
21	10842	8587	1
22	11218	8916	1
23	11594	8648	1
24	11970	8272	1
25	12346	7896	1
26	13004	7426	1
27	13051	6345	1
28	13474	5264	1
29	13850	3760	1
30	14226	1880	1
31	15356	1506	1
32	16862	1506	1
33	18368	1506	1
34	19874	1506	1
35	21380	1506	1
36	22886	1506	1
37	24392	1506	1
38	26086	1694	1
39	26133	1694	1
40	27639	1553	1
41	27686	1553	1
42	29145	1506	1
43	29192	1506	1
44	30651	1506	1
45	30698	1506	1
46	32345	1694	1
47	32392	1694	1
48	32439	1694	1
49	33898	1553	1
50	33945	1553	1
51	33992	1553	1
52	35404	1506	1
53	35451	1506	1
54	35498	1506	1
55	37098	1694	1
56	37145	1694	1
57	37192	1694	1
58	37239	1694	1
59	38651	1553	1
60	38698	1553	1
61	38745	1553	1
62	38792	1553	1
63	40390	1739	1
64	40437	1739	1
65	40484	1739	1
66	40531	1739	1
67	40625	1786	1
68	42270	1880	1
69	42317	1880	1
70	42364	1880	1
71	42411	1880	1
72	42505	1880	1
73	43821	1551	1
74	43870	1506	1
75	43917	1506	1
76	44011	1506	1
77	45515	1694	1
78	45562	1692	1
79	45609	1692	1
80	45703	1739	1
81	45797	1786	1
82	47113	1598	1
83	47160	1598	1
84	47207	1598	1
85	47301	1598	1
0	2852	1592	2
1	3228	1921	2
